!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.010  2387.   -2.47  3.38  0.339    1.000  17.16  16.24  12.71  11.01   9.87  
 0.015  2514.   -2.21  3.38  0.413    1.000  15.80  15.11  11.65  10.13   9.12  
 0.020  2594.   -2.05  3.40  0.466    1.000  15.00  14.38  11.03   9.61   8.68  
 0.030  2668.   -1.79  3.36  0.599    1.000  14.02  13.42  10.19   8.86   7.99  
 0.040  2733.   -1.66  3.40  0.661    1.000  13.43  12.80   9.73   8.46   7.65  
 0.050  2762.   -1.48  3.34  0.791    1.000  12.91  12.30   9.26   8.01   7.21  
 0.060  2808.   -1.40  3.37  0.841    1.000  12.55  11.92   8.97   7.76   7.00  
 0.070  2835.   -1.33  3.37  0.900    1.000  12.31  11.69   8.76   7.57   6.81  
 0.072  2832.   -1.29  3.35  0.937    1.000  12.24  11.63   8.69   7.49   6.73  
 0.075  2836.   -1.27  3.34  0.966    1.000  12.17  11.56   8.62   7.42   6.66  
 0.080  2837.   -1.20  3.31  1.040    1.000  12.02  11.42   8.47   7.26   6.50  
 0.090  2864.   -1.13  3.31  1.101    1.000  11.80  11.22   8.28   7.09   6.34  
 0.100  2925.   -1.15  3.41  1.033    1.000  11.66  11.06   8.23   7.09   6.38  
 0.110  2945.   -1.07  3.38  1.115    1.000  11.42  10.82   8.02   6.89   6.19  
 0.130  3006.   -0.93  3.34  1.270    1.000  10.88  10.30   7.58   6.49   5.82  
 0.150  3076.   -0.79  3.31  1.412    1.000  10.33   9.72   7.15   6.12   5.51  
 0.170  3139.   -0.67  3.28  1.565    1.000   9.87   9.23   6.78   5.80   5.21  
 0.200  3220.   -0.54  3.26  1.728    1.000   9.38   8.71   6.39   5.45   4.91  
 0.300  3460.   -0.20  3.23  2.203    1.000   7.99   7.21   5.34   4.57   4.15  
 0.400  3670.   -0.05  3.30  2.338    1.000   7.12   6.20   4.77   4.16   3.83  
 0.500  3848.    0.07  3.36  2.444    1.000   6.40   5.36   4.30   3.81   3.53  
 0.600  3987.    0.16  3.41  2.524    1.000   5.95   4.86   3.99   3.57   3.32  
 0.700  4110.    0.26  3.43  2.657    1.000   5.63   4.41   3.69   3.31   3.08  
 0.800  4221.    0.35  3.44  2.805    1.000   5.25   4.05   3.41   3.07   2.85  
 0.900  4315.    0.43  3.45  2.944    1.000   4.93   3.77   3.18   2.86   2.66  
 1.000  4397.    0.50  3.46  3.079    1.000   4.67   3.54   2.98   2.67   2.48  
 1.100  4471.    0.57  3.47  3.209    1.000   4.43   3.34   2.81   2.51   2.33  
 1.200  4537.    0.63  3.47  3.344    1.000   4.22   3.16   2.64   2.36   2.18  
 1.300  4596.    0.68  3.47  3.469    1.000   4.03   3.00   2.50   2.22   2.05  
 1.400  4647.    0.74  3.47  3.601    1.000   3.86   2.85   2.36   2.09   1.93  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0010
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.010  2345.   -2.70  3.57  0.271    1.000  18.06  16.85  13.43  11.67  10.49  
 0.015  2504.   -2.42  3.59  0.326    1.000  16.39  15.65  12.19  10.66   9.66  
 0.020  2598.   -2.25  3.60  0.372    1.000  15.47  14.80  11.48  10.07   9.17  
 0.030  2710.   -1.98  3.58  0.467    1.000  14.29  13.61  10.54   9.26   8.45  
 0.040  2779.   -1.81  3.58  0.536    1.000  13.61  12.92   9.99   8.78   8.03  
 0.050  2824.   -1.65  3.54  0.628    1.000  13.07  12.40   9.52   8.34   7.61  
 0.060  2864.   -1.53  3.52  0.702    1.000  12.68  12.03   9.18   8.02   7.31  
 0.070  2897.   -1.41  3.50  0.781    1.000  12.34  11.71   8.88   7.74   7.03  
 0.072  2896.   -1.39  3.49  0.803    1.000  12.29  11.66   8.83   7.68   6.97  
 0.075  2897.   -1.36  3.48  0.829    1.000  12.22  11.60   8.76   7.61   6.90  
 0.080  2898.   -1.31  3.45  0.877    1.000  12.11  11.49   8.64   7.49   6.78  
 0.090  2908.   -1.23  3.43  0.959    1.000  11.89  11.28   8.43   7.28   6.57  
 0.100  2936.   -1.17  3.44  1.002    1.000  11.66  11.06   8.26   7.13   6.43  
 0.110  2955.   -1.10  3.41  1.079    1.000  11.43  10.84   8.05   6.93   6.24  
 0.130  3012.   -0.96  3.38  1.214    1.000  10.93  10.34   7.64   6.56   5.91  
 0.150  3078.   -0.85  3.37  1.327    1.000  10.43   9.82   7.26   6.24   5.63  
 0.170  3142.   -0.73  3.34  1.465    1.000   9.97   9.34   6.90   5.92   5.34  
 0.200  3226.   -0.66  3.38  1.503    1.000   9.59   8.93   6.64   5.72   5.19  
 0.300  3428.   -0.48  3.49  1.636    1.000   8.67   7.93   6.00   5.22   4.79  
 0.400  3634.   -0.32  3.55  1.753    1.000   7.77   6.82   5.40   4.78   4.45  
 0.500  3802.   -0.18  3.59  1.870    1.000   7.11   6.10   4.95   4.43   4.15  
 0.600  3955.   -0.07  3.63  1.971    1.000   6.57   5.50   4.58   4.13   3.88  
 0.700  4078.    0.04  3.64  2.096    1.000   6.21   5.02   4.25   3.85   3.62  
 0.800  4192.    0.13  3.66  2.200    1.000   5.85   4.64   3.97   3.62   3.41  
 0.900  4290.    0.21  3.66  2.310    1.000   5.52   4.34   3.74   3.41   3.21  
 1.000  4377.    0.28  3.67  2.416    1.000   5.24   4.10   3.53   3.22   3.03  
 1.100  4456.    0.35  3.68  2.520    1.000   4.99   3.88   3.34   3.05   2.86  
 1.200  4529.    0.41  3.68  2.612    0.999   4.77   3.70   3.18   2.90   2.72  
 1.300  4596.    0.47  3.69  2.710    0.998   4.56   3.53   3.03   2.75   2.58  
 1.400  4658.    0.52  3.69  2.797    0.998   4.39   3.38   2.89   2.62   2.46  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0020
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.010  2236.   -2.96  3.75  0.220    1.000  19.50  17.71  14.52  12.57  11.29  
 0.015  2452.   -2.65  3.78  0.262    1.000  17.30  16.40  12.93  11.31  10.27  
 0.020  2571.   -2.46  3.79  0.298    1.000  16.17  15.44  12.08  10.63   9.71  
 0.030  2707.   -2.14  3.74  0.387    1.000  14.73  14.02  10.95   9.67   8.87  
 0.040  2784.   -1.90  3.68  0.481    1.000  13.82  13.11  10.20   9.00   8.26  
 0.050  2829.   -1.72  3.62  0.574    1.000  13.23  12.55   9.69   8.52   7.80  
 0.060  2867.   -1.58  3.57  0.661    1.000  12.79  12.13   9.30   8.14   7.43  
 0.070  2902.   -1.45  3.54  0.743    1.000  12.42  11.78   8.97   7.83   7.13  
 0.072  2907.   -1.43  3.53  0.761    1.000  12.35  11.71   8.90   7.77   7.07  
 0.075  2914.   -1.40  3.52  0.785    1.000  12.25  11.62   8.82   7.69   6.99  
 0.080  2924.   -1.35  3.51  0.827    1.000  12.10  11.47   8.68   7.55   6.86  
 0.090  2934.   -1.26  3.48  0.904    1.000  11.87  11.26   8.47   7.35   6.65  
 0.100  2972.   -1.26  3.54  0.890    1.000  11.72  11.10   8.38   7.29   6.63  
 0.110  2996.   -1.21  3.55  0.922    1.000  11.53  10.92   8.23   7.16   6.51  
 0.130  3034.   -1.15  3.59  0.959    1.000  11.24  10.62   8.03   6.99   6.38  
 0.150  3076.   -1.10  3.62  0.990    1.000  10.95  10.31   7.83   6.83   6.25  
 0.170  3126.   -1.02  3.62  1.060    1.000  10.60   9.95   7.55   6.59   6.04  
 0.200  3202.   -0.96  3.67  1.077    1.000  10.26   9.58   7.33   6.42   5.91  
 0.300  3428.   -0.72  3.73  1.238    1.000   9.18   8.38   6.55   5.78   5.37  
 0.400  3606.   -0.55  3.77  1.363    1.000   8.36   7.42   5.97   5.33   5.00  
 0.500  3763.   -0.41  3.80  1.476    1.000   7.72   6.72   5.51   4.97   4.68  
 0.600  3906.   -0.29  3.83  1.562    1.000   7.20   6.14   5.15   4.68   4.42  
 0.700  4033.   -0.18  3.84  1.659    0.999   6.78   5.65   4.82   4.41   4.17  
 0.800  4153.   -0.09  3.86  1.748    0.996   6.45   5.24   4.52   4.16   3.94  
 0.900  4259.   -0.00  3.87  1.833    0.986   6.10   4.91   4.28   3.94   3.73  
 1.000  4350.    0.07  3.87  1.917    0.973   5.81   4.65   4.06   3.75   3.55  
 1.100  4432.    0.14  3.88  1.995    0.969   5.55   4.43   3.88   3.58   3.39  
 1.200  4508.    0.20  3.88  2.072    0.972   5.31   4.23   3.70   3.42   3.24  
 1.300  4581.    0.26  3.89  2.148    0.977   5.10   4.05   3.54   3.27   3.10  
 1.400  4653.    0.32  3.89  2.220    0.983   4.90   3.88   3.40   3.13   2.97  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0030
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.010  2142.   -3.13  3.85  0.198    1.000  20.41  18.15  15.25  13.18  11.83  
 0.015  2406.   -2.79  3.88  0.232    1.000  17.96  16.89  13.44  11.74  10.65  
 0.020  2545.   -2.57  3.89  0.267    1.000  16.60  15.85  12.44  10.95  10.01  
 0.030  2706.   -2.17  3.77  0.373    1.000  14.82  14.11  11.03   9.75   8.95  
 0.040  2784.   -1.92  3.69  0.470    1.000  13.86  13.16  10.24   9.04   8.30  
 0.050  2831.   -1.74  3.64  0.559    1.000  13.28  12.59   9.74   8.57   7.85  
 0.060  2870.   -1.61  3.61  0.634    1.000  12.87  12.20   9.38   8.23   7.52  
 0.070  2906.   -1.51  3.60  0.695    1.000  12.53  11.87   9.09   7.96   7.27  
 0.072  2911.   -1.49  3.59  0.710    1.000  12.46  11.81   9.03   7.90   7.21  
 0.075  2919.   -1.46  3.59  0.727    1.000  12.38  11.73   8.96   7.83   7.15  
 0.080  2931.   -1.42  3.58  0.758    1.000  12.23  11.59   8.83   7.72   7.04  
 0.090  2956.   -1.36  3.59  0.794    1.000  12.02  11.39   8.66   7.56   6.90  
 0.100  2998.   -1.44  3.74  0.710    1.000  12.03  11.37   8.75   7.70   7.07  
 0.110  3016.   -1.39  3.75  0.736    1.000  11.85  11.19   8.62   7.58   6.97  
 0.130  3052.   -1.32  3.76  0.783    1.000  11.53  10.86   8.37   7.37   6.79  
 0.150  3088.   -1.25  3.78  0.827    1.000  11.23  10.54   8.15   7.18   6.62  
 0.170  3127.   -1.18  3.78  0.882    1.000  10.93  10.24   7.91   6.97   6.44  
 0.200  3196.   -1.10  3.81  0.917    1.000  10.58   9.86   7.66   6.76   6.27  
 0.300  3404.   -0.86  3.86  1.067    1.000   9.53   8.71   6.88   6.12   5.71  
 0.400  3582.   -0.68  3.89  1.186    1.000   8.71   7.78   6.29   5.65   5.31  
 0.500  3731.   -0.54  3.91  1.292    1.000   8.09   7.10   5.85   5.28   4.99  
 0.600  3868.   -0.42  3.94  1.374    0.996   7.58   6.53   5.48   4.99   4.73  
 0.700  3998.   -0.31  3.96  1.458    0.978   7.11   6.03   5.15   4.72   4.48  
 0.800  4120.   -0.21  3.97  1.535    0.918   6.81   5.60   4.85   4.47   4.25  
 0.900  4232.   -0.13  3.98  1.604    0.873   6.46   5.26   4.60   4.26   4.05  
 1.000  4330.   -0.05  3.99  1.674    0.875   6.15   4.98   4.38   4.06   3.86  
 1.100  4421.    0.02  3.99  1.747    0.899   5.86   4.73   4.18   3.87   3.69  
 1.200  4505.    0.09  4.00  1.817    0.925   5.61   4.52   3.99   3.70   3.52  
 1.300  4588.    0.15  4.00  1.887    0.947   5.37   4.32   3.82   3.54   3.37  
 1.400  4671.    0.22  4.00  1.967    0.965   5.13   4.12   3.64   3.37   3.21  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0040
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.010  2053.   -3.27  3.91  0.184    1.000  21.40  18.62  15.93  13.77  12.29  
 0.015  2362.   -2.89  3.95  0.215    1.000  18.54  17.24  13.86  12.09  10.95  
 0.020  2535.   -2.61  3.92  0.257    1.000  16.77  16.01  12.58  11.07  10.12  
 0.030  2705.   -2.19  3.78  0.367    1.000  14.85  14.14  11.06   9.79   8.99  
 0.040  2785.   -1.95  3.72  0.457    1.000  13.92  13.21  10.30   9.10   8.36  
 0.050  2834.   -1.78  3.68  0.534    1.000  13.36  12.67   9.82   8.66   7.95  
 0.060  2875.   -1.68  3.69  0.582    1.000  13.02  12.33   9.53   8.39   7.70  
 0.070  2914.   -1.64  3.73  0.595    1.000  12.79  12.10   9.37   8.26   7.59  
 0.072  2921.   -1.63  3.74  0.601    1.000  12.74  12.05   9.33   8.22   7.56  
 0.075  2931.   -1.61  3.75  0.606    1.000  12.67  11.99   9.28   8.18   7.52  
 0.080  2946.   -1.58  3.75  0.625    1.000  12.53  11.86   9.17   8.08   7.43  
 0.090  2976.   -1.53  3.77  0.647    1.000  12.31  11.64   9.00   7.94   7.31  
 0.100  3013.   -1.55  3.86  0.614    1.000  12.22  11.54   8.99   7.96   7.36  
 0.110  3035.   -1.51  3.87  0.639    1.000  12.02  11.33   8.84   7.83   7.25  
 0.130  3075.   -1.42  3.88  0.688    1.000  11.66  10.95   8.56   7.59   7.04  
 0.150  3113.   -1.35  3.89  0.729    1.000  11.36  10.63   8.33   7.39   6.86  
 0.170  3145.   -1.27  3.88  0.782    1.000  11.09  10.36   8.11   7.18   6.67  
 0.200  3206.   -1.19  3.91  0.822    1.000  10.75  10.00   7.85   6.97   6.49  
 0.300  3389.   -0.95  3.94  0.969    1.000   9.76   8.92   7.10   6.33   5.93  
 0.400  3560.   -0.78  3.97  1.078    1.000   8.97   8.04   6.53   5.87   5.53  
 0.500  3704.   -0.63  4.00  1.173    0.995   8.37   7.38   6.09   5.51   5.21  
 0.600  3842.   -0.51  4.02  1.258    0.966   7.83   6.80   5.71   5.21   4.94  
 0.700  3976.   -0.40  4.03  1.334    0.836   7.36   6.28   5.38   4.94   4.69  
 0.800  4096.   -0.30  4.05  1.400    0.712   7.06   5.86   5.08   4.69   4.46  
 0.900  4212.   -0.22  4.06  1.465    0.718   6.70   5.50   4.82   4.47   4.26  
 1.000  4315.   -0.14  4.07  1.527    0.761   6.38   5.21   4.60   4.27   4.07  
 1.100  4417.   -0.06  4.07  1.601    0.826   6.07   4.93   4.37   4.07   3.88  
 1.200  4513.    0.02  4.07  1.669    0.879   5.78   4.69   4.17   3.88   3.70  
 1.300  4609.    0.09  4.07  1.740    0.922   5.51   4.47   3.97   3.69   3.53  
 1.400  4710.    0.16  4.07  1.815    0.952   5.23   4.24   3.77   3.51   3.35  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0050
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.010  1961.   -3.39  3.95  0.176    1.000  22.16  19.05  16.54  14.40  12.84  
 0.015  2330.   -2.96  3.99  0.204    1.000  18.95  17.48  14.15  12.33  11.15  
 0.020  2531.   -2.62  3.93  0.254    1.000  16.82  16.06  12.62  11.11  10.15  
 0.030  2705.   -2.20  3.80  0.362    1.000  14.89  14.18  11.10   9.82   9.02  
 0.040  2785.   -1.98  3.75  0.440    1.000  14.00  13.28  10.38   9.18   8.45  
 0.050  2841.   -1.85  3.76  0.489    1.000  13.52  12.81   9.99   8.83   8.13  
 0.060  2890.   -1.81  3.82  0.496    1.000  13.27  12.55   9.81   8.69   8.02  
 0.070  2928.   -1.76  3.87  0.511    1.000  13.02  12.30   9.63   8.54   7.90  
 0.072  2934.   -1.75  3.87  0.518    1.000  12.96  12.25   9.58   8.50   7.86  
 0.075  2944.   -1.73  3.87  0.525    1.000  12.89  12.18   9.53   8.45   7.81  
 0.080  2959.   -1.69  3.87  0.541    1.000  12.75  12.04   9.41   8.35   7.72  
 0.090  2992.   -1.64  3.89  0.566    1.000  12.50  11.81   9.22   8.18   7.57  
 0.100  3027.   -1.63  3.95  0.554    1.000  12.34  11.63   9.15   8.14   7.57  
 0.110  3052.   -1.58  3.95  0.580    1.000  12.12  11.40   8.98   7.99   7.44  
 0.130  3098.   -1.49  3.96  0.627    1.000  11.71  10.97   8.68   7.73   7.21  
 0.150  3136.   -1.41  3.96  0.669    1.000  11.43  10.68   8.45   7.53   7.02  
 0.170  3169.   -1.34  3.96  0.713    1.000  11.17  10.42   8.23   7.33   6.84  
 0.200  3220.   -1.26  3.98  0.758    1.000  10.85  10.07   7.98   7.11   6.65  
 0.300  3379.   -1.02  4.01  0.899    1.000   9.92   9.07   7.26   6.50   6.10  
 0.400  3546.   -0.84  4.03  1.006    0.998   9.15   8.22   6.70   6.03   5.69  
 0.500  3696.   -0.70  4.06  1.095    0.975   8.53   7.53   6.24   5.67   5.36  
 0.600  3830.   -0.57  4.08  1.173    0.834   8.01   6.97   5.87   5.37   5.10  
 0.700  3960.   -0.47  4.09  1.243    0.547   7.55   6.47   5.55   5.10   4.86  
 0.800  4081.   -0.37  4.11  1.306    0.517   7.24   6.05   5.25   4.86   4.63  
 0.900  4198.   -0.28  4.12  1.366    0.567   6.89   5.68   4.99   4.64   4.42  
 1.000  4310.   -0.20  4.13  1.429    0.658   6.54   5.36   4.75   4.42   4.22  
 1.100  4422.   -0.12  4.13  1.494    0.755   6.21   5.07   4.51   4.21   4.02  
 1.200  4531.   -0.03  4.13  1.569    0.842   5.88   4.80   4.28   3.99   3.82  
 1.300  4644.    0.05  4.12  1.643    0.904   5.57   4.55   4.05   3.79   3.62  
 1.400  4771.    0.14  4.11  1.719    0.944   5.25   4.29   3.83   3.57   3.42  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0080
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.010  1714.   -3.70  4.02  0.161    1.000  22.87  19.57  17.41  15.78  14.52  
 0.015  2280.   -3.05  4.05  0.192    1.000  19.55  17.77  14.56  12.65  11.41  
 0.020  2525.   -2.65  3.95  0.248    1.000  16.92  16.15  12.70  11.18  10.21  
 0.030  2699.   -2.29  3.88  0.329    1.000  15.14  14.41  11.32  10.04   9.24  
 0.040  2784.   -2.22  4.00  0.333    1.000  14.60  13.85  10.96   9.78   9.06  
 0.050  2849.   -2.13  4.04  0.353    1.000  14.16  13.38  10.62   9.49   8.82  
 0.060  2903.   -2.05  4.07  0.375    1.000  13.77  12.99  10.34   9.25   8.61  
 0.070  2948.   -1.97  4.09  0.396    1.000  13.44  12.68  10.09   9.03   8.42  
 0.072  2956.   -1.96  4.09  0.401    1.000  13.37  12.61  10.04   8.98   8.37  
 0.075  2968.   -1.93  4.09  0.411    1.000  13.26  12.51   9.95   8.91   8.30  
 0.080  2986.   -1.89  4.09  0.424    1.000  13.10  12.36   9.83   8.80   8.21  
 0.090  3017.   -1.83  4.09  0.445    1.000  12.84  12.10   9.63   8.63   8.05  
 0.100  3045.   -1.80  4.13  0.453    1.000  12.66  11.89   9.51   8.53   7.98  
 0.110  3069.   -1.74  4.12  0.477    1.000  12.42  11.65   9.33   8.37   7.84  
 0.130  3115.   -1.64  4.12  0.517    1.000  12.02  11.23   9.02   8.11   7.60  
 0.150  3155.   -1.56  4.13  0.554    1.000  11.72  10.92   8.78   7.89   7.40  
 0.170  3192.   -1.48  4.12  0.593    1.000  11.44  10.63   8.55   7.68   7.21  
 0.200  3234.   -1.40  4.13  0.637    1.000  11.14  10.31   8.30   7.46   7.01  
 0.300  3364.   -1.17  4.15  0.765    0.996  10.29   9.41   7.62   6.86   6.46  
 0.400  3518.   -0.99  4.17  0.864    0.926   9.54   8.59   7.06   6.39   6.04  
 0.500  3669.   -0.84  4.19  0.944    0.449   8.90   7.89   6.59   6.01   5.70  
 0.600  3798.   -0.72  4.21  1.010    0.087   8.41   7.36   6.24   5.71   5.44  
 0.700  3923.   -0.61  4.22  1.071    0.104   7.96   6.87   5.91   5.45   5.20  
 0.800  4049.   -0.51  4.23  1.133    0.173   7.59   6.43   5.60   5.19   4.96  
 0.900  4184.   -0.41  4.24  1.192    0.282   7.22   6.01   5.30   4.94   4.73  
 1.000  4327.   -0.30  4.24  1.256    0.448   6.79   5.61   5.00   4.68   4.48  
 1.100  4481.   -0.20  4.24  1.321    0.630   6.36   5.25   4.71   4.42   4.24  
 1.200  4647.   -0.09  4.23  1.398    0.785   5.92   4.89   4.40   4.13   3.97  
 1.300  4837.    0.04  4.21  1.489    0.882   5.46   4.52   4.07   3.83   3.68  
 1.400  5064.    0.18  4.17  1.602    0.938   4.96   4.11   3.70   3.48   3.36  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0100
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.010  1570.   -3.87  4.05  0.156    1.000  22.99  19.67  17.52  15.97  14.91  
 0.015  2261.   -3.08  4.06  0.189    1.000  19.76  17.86  14.70  12.76  11.51  
 0.020  2519.   -2.67  3.96  0.244    1.000  16.99  16.22  12.76  11.23  10.26  
 0.030  2682.   -2.43  4.01  0.283    1.000  15.58  14.83  11.71  10.41   9.60  
 0.040  2768.   -2.35  4.11  0.292    1.000  15.01  14.20  11.29  10.09   9.36  
 0.050  2843.   -2.23  4.14  0.315    1.000  14.47  13.63  10.88   9.75   9.07  
 0.060  2900.   -2.15  4.16  0.335    1.000  14.02  13.22  10.58   9.49   8.85  
 0.070  2946.   -2.06  4.18  0.358    1.000  13.66  12.88  10.30   9.25   8.64  
 0.072  2954.   -2.04  4.18  0.363    1.000  13.59  12.81  10.25   9.20   8.60  
 0.075  2967.   -2.02  4.18  0.369    1.000  13.49  12.72  10.17   9.13   8.54  
 0.080  2987.   -1.98  4.17  0.383    1.000  13.31  12.55  10.04   9.01   8.43  
 0.090  3021.   -1.91  4.18  0.405    1.000  13.02  12.25   9.82   8.82   8.26  
 0.100  3050.   -1.87  4.20  0.416    1.000  12.80  12.01   9.67   8.70   8.16  
 0.110  3075.   -1.82  4.20  0.435    1.000  12.57  11.77   9.49   8.55   8.03  
 0.130  3118.   -1.72  4.20  0.475    1.000  12.18  11.36   9.19   8.28   7.78  
 0.150  3159.   -1.64  4.20  0.509    1.000  11.88  11.05   8.95   8.06   7.59  
 0.170  3197.   -1.56  4.20  0.544    1.000  11.59  10.75   8.71   7.85   7.39  
 0.200  3240.   -1.47  4.20  0.587    1.000  11.27  10.42   8.45   7.62   7.17  
 0.300  3363.   -1.23  4.21  0.713    0.979  10.43   9.54   7.77   7.01   6.61  
 0.400  3508.   -1.05  4.23  0.805    0.663   9.71   8.75   7.22   6.55   6.20  
 0.500  3651.   -0.91  4.25  0.880    0.024   9.10   8.08   6.77   6.18   5.87  
 0.600  3781.   -0.79  4.27  0.942    0.020   8.59   7.54   6.40   5.88   5.60  
 0.700  3908.   -0.67  4.28  1.005    0.036   8.13   7.04   6.07   5.60   5.35  
 0.800  4041.   -0.57  4.29  1.064    0.086   7.73   6.59   5.75   5.33   5.10  
 0.900  4191.   -0.46  4.29  1.121    0.191   7.34   6.13   5.42   5.06   4.85  
 1.000  4363.   -0.34  4.29  1.189    0.383   6.84   5.67   5.08   4.76   4.57  
 1.100  4553.   -0.21  4.28  1.259    0.597   6.33   5.25   4.73   4.45   4.28  
 1.200  4768.   -0.07  4.26  1.347    0.774   5.79   4.82   4.36   4.10   3.95  
 1.300  5038.    0.09  4.22  1.459    0.880   5.20   4.34   3.93   3.70   3.58  
 1.400  5363.    0.29  4.16  1.624    0.938   4.54   3.79   3.42   3.23   3.13  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0150
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.015  2237.   -3.11  4.08  0.185    1.000  20.04  17.99  14.89  12.91  11.63  
 0.020  2495.   -2.74  4.02  0.229    1.000  17.33  16.52  13.02  11.45  10.45  
 0.030  2614.   -2.69  4.22  0.222    1.000  16.72  15.77  12.50  11.11  10.22  
 0.040  2721.   -2.55  4.28  0.240    1.000  15.67  14.84  11.85  10.61   9.86  
 0.050  2827.   -2.41  4.30  0.261    1.000  15.04  14.07  11.32  10.18   9.49  
 0.060  2892.   -2.30  4.32  0.282    1.000  14.44  13.60  10.96   9.87   9.24  
 0.070  2943.   -2.21  4.32  0.302    1.000  14.03  13.21  10.66   9.61   9.01  
 0.072  2952.   -2.19  4.32  0.307    1.000  13.95  13.14  10.61   9.56   8.97  
 0.075  2965.   -2.17  4.32  0.312    1.000  13.85  13.04  10.53   9.49   8.91  
 0.080  2986.   -2.13  4.32  0.324    1.000  13.67  12.87  10.39   9.37   8.80  
 0.090  3023.   -2.06  4.32  0.342    1.000  13.36  12.55  10.16   9.17   8.63  
 0.100  3056.   -2.01  4.34  0.355    1.000  13.09  12.27   9.98   9.02   8.50  
 0.110  3086.   -1.95  4.34  0.373    1.000  12.82  11.98   9.78   8.85   8.35  
 0.130  3131.   -1.84  4.33  0.407    1.000  12.43  11.58   9.47   8.58   8.10  
 0.150  3169.   -1.76  4.33  0.438    0.999  12.13  11.26   9.22   8.36   7.89  
 0.170  3205.   -1.68  4.33  0.469    0.997  11.85  10.97   8.99   8.15   7.70  
 0.200  3252.   -1.59  4.33  0.508    0.985  11.51  10.63   8.72   7.90   7.47  
 0.300  3374.   -1.34  4.33  0.623    0.594  10.65   9.73   8.02   7.27   6.89  
 0.400  3498.   -1.17  4.34  0.707    0.000  10.00   9.02   7.51   6.83   6.49  
 0.500  3621.   -1.03  4.36  0.774    0.000   9.43   8.41   7.08   6.48   6.17  
 0.600  3748.   -0.91  4.37  0.834    0.001   8.93   7.87   6.71   6.17   5.89  
 0.700  3891.   -0.78  4.38  0.895    0.003   8.42   7.32   6.33   5.86   5.61  
 0.800  4054.   -0.65  4.38  0.955    0.021   7.95   6.79   5.96   5.55   5.32  
 0.900  4263.   -0.51  4.37  1.020    0.111   7.39   6.19   5.53   5.19   4.99  
 1.000  4530.   -0.35  4.36  1.092    0.318   6.68   5.59   5.06   4.78   4.60  
 1.100  4850.   -0.15  4.33  1.189    0.576   5.93   4.99   4.55   4.30   4.16  
 1.200  5264.    0.09  4.27  1.331    0.770   5.10   4.31   3.93   3.73   3.63  
 1.300  5754.    0.40  4.15  1.593    0.880   4.14   3.50   3.18   3.02   2.95  
 1.400  6422.    0.70  4.07  1.804    0.938   3.24   2.76   2.51   2.40   2.36  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0200
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.015  2209.   -3.15  4.10  0.181    1.000  20.38  18.15  15.12  13.09  11.77  
